,#Niveles,Nmodel,a(m),b(m),h(m),t(m),Lm(m),V(kN),Δmax(‰),VolConc(m3)
0,5,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1600.3896986212317,5.7396210972633375,213.75
1,5,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.1,2072.4694618532326,5.00163227424899,216.75
2,5,73,0.49999999999999994,0.25,0.5499999999999999,0.25,1.2000000000000002,1773.0545246263855,5.352885233094691,219.75
3,5,171,0.49999999999999994,0.25,0.5499999999999999,0.25,1.3000000000000003,1758.8355753689036,5.201921833011163,222.75
4,5,269,0.49999999999999994,0.25,0.5499999999999999,0.25,1.4000000000000004,1790.094175168904,5.045786176564142,225.75
5,5,441,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5000000000000004,1857.5040054502538,4.889368398308357,228.75
6,5,621,0.5499999999999999,0.25,0.5499999999999999,0.25,1.6000000000000005,2033.9612738689193,4.609343158517639,251.45
7,5,892,0.6,0.25,0.5499999999999999,0.25,1.7000000000000006,2186.0901723549014,4.383919373343826,276.0
8,5,1145,0.6,0.25,0.7500000000000001,0.25,1.8000000000000007,2595.0439614566926,2.980101673537973,319.0
9,5,1395,0.6,0.25,0.8000000000000002,0.25,1.9000000000000008,2633.369948743559,2.6035108551154997,332.0
10,5,1644,0.6,0.25,0.8000000000000002,0.25,2.000000000000001,2639.4736892838255,2.4797168360271447,335.0
11,5,1893,0.6,0.25,0.8000000000000002,0.25,2.100000000000001,2624.057228880305,2.3590482086903335,338.0
12,5,2142,0.6,0.25,0.8000000000000002,0.25,2.200000000000001,2791.587242486128,2.236306157521827,341.0
13,5,2390,0.6,0.25,0.7500000000000001,0.25,2.300000000000001,2626.2339435007134,2.2957011909396132,334.0
14,5,2639,0.6,0.25,0.7500000000000001,0.25,2.4000000000000012,2564.8523304902114,2.1743877909030656,337.0
15,5,2888,0.6,0.25,0.7500000000000001,0.25,2.5000000000000013,2847.4568594785565,2.0494448441303112,340.0
16,6,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,2095.0884921595857,5.182001468573266,256.5
17,6,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.1,1597.3030531661566,5.811656059833054,260.1
18,6,73,0.49999999999999994,0.25,0.5499999999999999,0.25,1.2000000000000002,1685.4909688623432,5.720629966971612,263.70000000000005
19,6,171,0.49999999999999994,0.25,0.5499999999999999,0.25,1.3000000000000003,1751.9303488382438,5.560651274398123,267.29999999999995
20,6,269,0.49999999999999994,0.25,0.5499999999999999,0.25,1.4000000000000004,1790.6348380080099,5.38920355129989,270.9
21,6,441,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5000000000000004,1884.0485872170902,5.212154093474033,274.5
22,6,613,0.49999999999999994,0.25,0.5499999999999999,0.25,1.6000000000000005,1892.9238125324762,5.03533990745958,278.1
23,6,862,0.49999999999999994,0.25,0.5499999999999999,0.25,1.7000000000000006,1964.0020632651192,4.858278611373379,281.70000000000005
24,6,1111,0.49999999999999994,0.25,0.5499999999999999,0.25,1.8000000000000007,2020.9165174457676,4.685895456718771,285.29999999999995
25,6,1360,0.49999999999999994,0.25,0.5499999999999999,0.25,1.9000000000000008,2077.7145728765363,4.516437100458414,288.9
26,6,1617,0.5499999999999999,0.25,0.5499999999999999,0.25,2.000000000000001,2192.4101926471553,4.27258236273229,316.14
27,6,1926,0.65,0.25,0.5499999999999999,0.25,2.100000000000001,2440.3007213185024,4.040755574285476,373.74
28,6,2218,0.7000000000000001,0.25,0.5499999999999999,0.25,2.200000000000001,2694.5725906039834,3.9000028416487345,407.70000000000005
29,6,2559,0.8000000000000002,0.25,0.5499999999999999,0.25,2.300000000000001,2805.4496977828835,3.776632536700171,478.79999999999995
30,7,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1553.8911382650192,6.31505808833828,299.25
31,7,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.1,2043.242040592237,5.863217596608193,303.45
